Sample_Name;GSH;(v1) Maximum calice diameter;(v2) Maximum calice diameter perpendicular to v1;"(v3) Distance between the center of the corallite and the
center of the closest adjacent corallite";(v4) Distance between denticles of the coenosteum;(v5) Height of septa or septal teeth;(v6) Maximum columella diameter;(v7) Maximum columella diameter perpendicular to v6;(v8) Shape of septa;(v9) Shape of columella
MAD1_059;GSH01;0,7710;0,6547;0,8928;0,1275;0,1223;0,1891;0,1204;Robust/Spinulate;Styliform
LP001;GSH01;0,8995;0,7559;1,1007;0,1165;0,1256;0,2790;0,1384;Robust/Spinulate;Styliform
CHE02_019;GSH01;0,6244;0,5349;0,9619;0,1315;0,1333;0,2231;0,1146;Robust/Spinulate;Styliform
CHE02_048;GSH01;0,7628;0,6930;0,9927;0,1267;0,1423;0,3418;0,1676;Robust/Spinulate;Styliform
CHE02_049;GSH01;0,7869;0,6475;0,8763;0,1188;0,1701;0,2031;0,1108;Robust/Spinulate;Styliform
CHE02_050;GSH01;0,8226;0,7081;1,0860;0,1310;0,1683;0,3919;0,1524;Robust/Spinulate;Styliform
CHE10_020;GSH01;0,7092;0,5997;0,8956;0,1457;0,1342;0,3385;0,1542;Robust/Spinulate;Styliform
NC04_042;GSH04a;0,7598;0,6670;0,9615;0,1433;0,0474;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC04_088;GSH04a;0,9189;0,7516;1,1921;0,1351;0,0653;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC05_004;GSH04a;1,1212;0,8420;1,4173;0,1692;0,0851;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC05_005;GSH04a;1,0697;0,8427;1,0909;0,1491;0,0742;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC06_136;GSH04a;0,7894;0,7194;1,0418;0,1251;0,0908;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC06_142;GSH04a;0,9041;0,7539;1,1492;0,1033;0,0614;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC08_040;GSH04a;0,9419;0,7426;1,0172;0,1195;0,0755;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC25_142;GSH04a;0,7958;0,7276;0,9306;0,1484;0,0700;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC26_047;GSH04a;0,9225;0,7572;1,2527;0,1414;0,0593;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC29_097;GSH04a;0,7467;0,5881;0,8539;0,1513;0,0458;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC04_083;GSH04b;0,7641;0,6433;0,8579;0,1165;0,0509;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC06_027;GSH04b;0,7484;0,6539;0,8267;0,1277;0,0778;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC11_112;GSH04b;0,6977;0,6342;0,9942;0,1394;0,0383;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC12_135;GSH04b;0,8615;0,7531;1,3089;0,1342;0,0761;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC14_099;GSH04b;0,7984;0,6846;0,8403;0,1240;0,0443;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC25_111;GSH04b;0,7294;0,6169;1,0084;0,1191;0,0547;0,0000;0,0000;Rudimentary;Flat/Spinulate
ROD1_118;GSH04c;0,6867;0,5927;0,8009;0,1091;0,0630;0,0000;0,0000;Rudimentary;Flat/Spinulate
ROD1_129;GSH04c;0,9199;0,6539;1,0847;0,1015;0,0564;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC04_037;GSH10;0,7921;0,6516;1,1025;0,1367;0,0350;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC06_014;GSH10;0,7893;0,6680;0,9225;0,1619;0,1009;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC06_019;GSH10;0,9042;0,7678;1,1742;0,1160;0,0766;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC06_021;GSH10;1,0295;0,8401;1,1120;0,1558;0,1013;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC06_023;GSH10;0,6909;0,6338;0,9674;0,1390;0,0630;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC06_024;GSH10;0,7810;0,6372;0,9976;0,1368;0,0708;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC06_031;GSH10;0,7522;0,6258;1,0015;0,1059;0,0552;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC06_058;GSH10;0,7635;0,7098;0,9095;0,1361;0,0332;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC06_065;GSH10;0,8440;0,7394;0,9805;0,1206;0,0398;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC25_133;GSH10;0,8932;0,7015;1,1115;0,1263;0,0504;0,0000;0,0000;Rudimentary;Flat/Spinulate
KI_L23;GSH05c-1;0,8003;0,6756;0,9431;0,1202;0,0489;0,0000;0,0000;Rudimentary;Flat/Spinulate
SA13d_024;GSH05c-1;0,9449;0,6796;1,0710;0,1205;0,0676;0,0000;0,0000;Rudimentary;Flat/Spinulate
SA-L01;GSH05c-1;0,8529;0,6856;1,0075;0,1299;0,0306;0,0000;0,0000;Rudimentary;Flat/Spinulate
SA-L03;GSH05c-1;0,7937;0,6429;0,9062;0,1341;0,0456;0,0000;0,0000;Rudimentary;Flat/Spinulate
SA-L04;GSH05c-1;0,7627;0,6354;0,9141;0,1038;0,0494;0,0000;0,0000;Rudimentary;Flat/Spinulate
SA-L06;GSH05c-1;0,7119;0,5777;0,8647;0,1266;0,0395;0,0000;0,0000;Rudimentary;Flat/Spinulate
ROD1_131;GSH05c-1;0,9201;0,8164;0,8640;0,1584;0,0501;0,0000;0,0000;Rudimentary;Flat/Spinulate
ROD1_139;GSH05c-1;0,8002;0,6918;1,0377;0,1501;0,0537;0,0000;0,0000;Rudimentary;Flat/Spinulate
ROD1_169;GSH05c-1;0,8091;0,6477;0,8709;0,1247;0,0747;0,0000;0,0000;Rudimentary;Flat/Spinulate
ROD1_179;GSH05c-1;1,0581;0,8284;1,0444;0,1239;0,0775;0,0000;0,0000;Rudimentary;Flat/Spinulate
MAY5_152;GSH05d;1,2064;0,8906;1,1244;0,1701;0,0755;0,0000;0,0000;Rudimentary;Flat/Spinulate
MAY5_156;GSH05d;0,8757;0,6768;0,8995;0,1403;0,0701;0,0000;0,0000;Rudimentary;Flat/Spinulate
MAY5_182;GSH05d;0,8383;0,6613;0,8547;0,1264;0,0180;0,0000;0,0000;Rudimentary;Flat/Spinulate
JDN5_016;GSH05d;1,0034;0,8972;1,3038;0,1185;0,0964;0,0000;0,0000;Rudimentary;Flat/Spinulate
JDN5_026;GSH05d;0,9679;0,6643;1,0378;0,1289;0,0885;0,0000;0,0000;Rudimentary;Flat/Spinulate
JDN5_031;GSH05d;1,0816;0,8888;1,2615;0,1254;0,0795;0,0000;0,0000;Rudimentary;Flat/Spinulate
JDN5_084;GSH05d;1,0567;0,8168;1,2569;0,1364;0,0851;0,0000;0,0000;Rudimentary;Flat/Spinulate
MAD_0381;GSH05d;1,0881;0,9053;1,2786;0,1287;0,0593;0,0000;0,0000;Rudimentary;Flat/Spinulate
MAD2_171;GSH05d;1,2068;1,0055;1,1650;0,1248;0,0434;0,0000;0,0000;Rudimentary;Flat/Spinulate
MAD2_186;GSH05d;0,9015;0,6200;0,9680;0,1059;0,0630;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC05_042;GSH05a-1;0,9619;0,7915;1,1529;0,1292;0,0611;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC05_045;GSH05a-1;0,9393;0,7511;1,0034;0,1340;0,0614;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC05_058;GSH05a-1;1,0854;0,9232;0,9929;0,1429;0,0446;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC05_076;GSH05a-1;0,9203;0,7488;1,0643;0,1446;0,0531;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC05_082;GSH05a-1;0,9331;0,7379;1,1211;0,1570;0,0590;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC06_079;GSH05a-1;0,8183;0,7506;0,9420;0,1382;0,0434;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC06_156;GSH05a-1;0,8261;0,6658;0,8914;0,1071;0,0333;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC06_157;GSH05a-1;0,8891;0,7263;1,0477;0,1547;0,0614;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC06_166;GSH05a-1;0,7290;0,6134;0,8415;0,1078;0,0694;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC31_013;GSH05a-1;0,9339;0,7828;1,0283;0,1273;0,0339;0,0000;0,0000;Rudimentary;Flat/Spinulate
MAY2_040;GSH05c-2;0,9833;0,7513;1,2792;0,1398;0,0340;0,0000;0,0000;Rudimentary;Flat/Spinulate
JDN5_012;GSH05c-2;0,9986;0,8358;1,1582;0,1167;0,0705;0,0000;0,0000;Rudimentary;Flat/Spinulate
JDN5_027;GSH05c-2;1,0811;0,8124;1,1389;0,1351;0,0745;0,0000;0,0000;Rudimentary;Flat/Spinulate
MAD_0723;GSH05c-2;1,0249;0,7620;1,4529;0,1343;0,0551;0,0000;0,0000;Rudimentary;Flat/Spinulate
MAD_0724;GSH05c-2;0,7614;0,6170;1,1157;0,1095;0,0607;0,0000;0,0000;Rudimentary;Flat/Spinulate
MAD3_064;GSH05c-2;0,8870;0,7196;0,9249;0,1069;0,0589;0,0000;0,0000;Rudimentary;Flat/Spinulate
MAD3_082;GSH05c-2;1,0401;0,8665;1,2598;0,1143;0,0664;0,0000;0,0000;Rudimentary;Flat/Spinulate
MAD3_087;GSH05c-2;1,0103;0,8866;1,0524;0,1253;0,0691;0,0000;0,0000;Rudimentary;Flat/Spinulate
KI_L02;GSH05c-2;0,7612;0,6355;0,9781;0,1297;0,0630;0,0000;0,0000;Rudimentary;Flat/Spinulate
ROD1_127;GSH05c-2;0,8513;0,7437;1,0763;0,1439;0,0143;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC05_033;GSH05a-2;1,0618;0,9629;1,0146;0,1618;0,0145;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC05_090;GSH05a-2;0,9247;0,6864;1,1613;0,1325;0,0546;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC06_003;GSH05a-2;1,0440;0,9093;1,5726;0,1121;0,0595;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC06_005;GSH05a-2;0,8774;0,7427;0,8828;0,1535;0,0686;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC06_047;GSH05a-2;0,9435;0,7349;1,2705;0,1469;0,0725;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC06_090;GSH05a-2;0,8668;0,7854;1,0445;0,1511;0,0679;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC06_168;GSH05a-2;1,1117;0,8872;1,2092;0,1415;0,0816;0,0000;0,0000;Rudimentary;Flat/Spinulate
NC07_146;GSH05a-2;0,8835;0,6714;1,1523;0,1291;0,0565;0,0000;0,0000;Rudimentary;Flat/Spinulate
MAD_0138;GSH12;0,7217;0,6276;1,0392;0,1513;0,1162;0,0000;0,0000;Long/Thin;Flat/Spinulate
MAD_0412;GSH12;1,0368;0,8316;1,0606;0,1260;0,1146;0,0000;0,0000;Long/Thin;Flat/Spinulate
MAD_0424;GSH12;0,8837;0,7810;0,9999;0,1239;0,1291;0,0000;0,0000;Long/Thin;Flat/Spinulate
TR08;GSH12;0,8047;0,6439;0,8710;0,1490;0,0944;0,0000;0,0000;Long/Thin;Flat/Spinulate
TR46;GSH12;0,7935;0,5866;1,0528;0,1591;0,1371;0,0000;0,0000;Long/Thin;Flat/Spinulate
TR55;GSH12;0,8015;0,6154;0,8526;0,1565;0,1149;0,0000;0,0000;Long/Thin;Flat/Spinulate
LP012;GSH12;1,2230;0,8727;1,0883;0,1636;0,2158;0,0000;0,0000;Long/Thin;Flat/Spinulate
MAY5_021;GSH13a;1,1107;0,8715;1,2807;0,1340;0,0796;0,0000;0,0000;Intermediate;Flat/Spinulate
MAY5_031;GSH13a;0,9320;0,7556;0,9680;0,1068;0,0819;0,0000;0,0000;Intermediate;Flat/Spinulate
Glo3_033;GSH13a;0,9088;0,7968;1,1981;0,1767;0,0632;0,0000;0,0000;Intermediate;Flat/Spinulate
JDN2_093;GSH13a;0,8989;0,7409;1,0483;0,1392;0,0667;0,0000;0,0000;Intermediate;Flat/Spinulate
Eu02_22;GSH13a;0,7901;0,7062;0,9579;0,1529;0,0504;0,0000;0,0000;Intermediate;Flat/Spinulate
Eu02_25;GSH13a;0,8849;0,7773;1,2349;0,1633;0,0845;0,0000;0,0000;Intermediate;Flat/Spinulate
Eu02_43;GSH13a;1,0871;0,8843;1,1709;0,1486;0,0821;0,0000;0,0000;Intermediate;Flat/Spinulate
Eu02_46;GSH13a;1,0576;0,7272;1,0851;0,1647;0,0844;0,0000;0,0000;Intermediate;Flat/Spinulate
MAD3_066;GSH13a;0,9810;0,8027;1,0827;0,1011;0,0878;0,0000;0,0000;Intermediate;Flat/Spinulate
MAD3_075;GSH13a;0,8921;0,7512;1,0956;0,1705;0,0797;0,0000;0,0000;Intermediate;Flat/Spinulate
CHE01_019;GSH13c;1,0821;0,7885;1,2283;0,1525;0,1056;0,0000;0,0000;Long/Thin;Flat/Spinulate
CHE01_045;GSH13c;0,8889;0,7686;1,1827;0,1837;0,1082;0,0000;0,0000;Long/Thin;Flat/Spinulate
CHE02_008;GSH13c;0,8549;0,7732;1,0363;0,1682;0,1073;0,0000;0,0000;Long/Thin;Flat/Spinulate
NC04_020;GSH13c;1,0424;0,8428;1,2235;0,1495;0,1289;0,0000;0,0000;Long/Thin;Flat/Spinulate
NC04_052;GSH13c;0,8870;0,7865;1,2069;0,1671;0,1185;0,0000;0,0000;Long/Thin;Flat/Spinulate
NC07_078;GSH13c;0,9890;0,8721;1,2697;0,1522;0,1652;0,0000;0,0000;Long/Thin;Flat/Spinulate
NC07_114;GSH13c;0,9375;0,7500;0,9389;0,1887;0,1378;0,0000;0,0000;Long/Thin;Flat/Spinulate
NC19_021;GSH13c;0,7732;0,6729;0,9764;0,1527;0,1383;0,0000;0,0000;Long/Thin;Flat/Spinulate
NC25_102;GSH13c;0,8677;0,7171;1,1078;0,1643;0,1309;0,0000;0,0000;Long/Thin;Flat/Spinulate
NC29_050;GSH13c;0,9730;0,8169;1,3056;0,1968;0,1447;0,0000;0,0000;Long/Thin;Flat/Spinulate
NC04_090;GSH15;0,7916;0,7048;1,0873;0,1299;0,1320;0,3668;0,1345;Long/Thin;Oval/Convex
NC06_025;GSH15;0,8785;0,6785;1,0946;0,1935;0,1435;0,4300;0,1957;Long/Thin;Oval/Convex
NC08_099;GSH15;0,6762;0,5887;0,9217;0,1425;0,1130;0,2252;0,1084;Long/Thin;Oval/Convex
NC21_105;GSH15;0,8502;0,6341;0,9767;0,1338;0,1265;0,2603;0,1138;Long/Thin;Oval/Convex
NC28_123;GSH15;0,6884;0,6085;0,9419;0,1539;0,1200;0,2204;0,0929;Long/Thin;Oval/Convex
Bo_01;GSH14;0,8449;0,7268;1,1337;0,1681;0,1290;0,0000;0,0000;Long/Thin;Flat/Spinulate
Bo_17;GSH14;0,7783;0,6557;0,9597;0,1796;0,0802;0,0000;0,0000;Long/Thin;Flat/Spinulate
Mo1_02;GSH14;0,7195;0,6161;0,9240;0,1624;0,1293;0,0000;0,0000;Long/Thin;Flat/Spinulate
Mo3_18;GSH14;0,8108;0,6537;1,2354;0,1767;0,1165;0,0000;0,0000;Long/Thin;Flat/Spinulate
Ta06;GSH14;0,7947;0,6471;1,0834;0,1505;0,1098;0,0000;0,0000;Long/Thin;Flat/Spinulate
MAY5_022;GSH13b;0,8610;0,6821;0,9445;0,1469;0,0559;0,0000;0,0000;Intermediate;Flat/Spinulate
MAY5_124;GSH13b;0,7103;0,5859;0,9000;0,1489;0,0579;0,0000;0,0000;Intermediate;Flat/Spinulate
JDN3_046;GSH13b;0,9477;0,7931;1,1373;0,1594;0,0482;0,0000;0,0000;Intermediate;Flat/Spinulate
Eu02_57;GSH13b;1,0195;0,7438;1,0865;0,1546;0,0490;0,0000;0,0000;Intermediate;Flat/Spinulate
Eu02_58;GSH13b;1,2201;0,9022;1,3038;0,1949;0,0901;0,0000;0,0000;Intermediate;Flat/Spinulate
Eu04_43;GSH13b;0,9358;0,7890;1,0384;0,1679;0,0687;0,0000;0,0000;Intermediate;Flat/Spinulate
MAD_0674;GSH13b;0,9418;0,6899;0,9255;0,1411;0,0437;0,0000;0,0000;Intermediate;Flat/Spinulate
MAD3_010;GSH13b;1,0961;0,7539;1,0139;0,1377;0,0535;0,0000;0,0000;Intermediate;Flat/Spinulate
MAD3_085;GSH13b;0,9173;0,6195;1,1168;0,1425;0,0529;0,0000;0,0000;Intermediate;Flat/Spinulate
MAD3_151;GSH13b;0,9505;0,7749;1,1073;0,1691;0,0573;0,0000;0,0000;Intermediate;Flat/Spinulate
CHE03_015;GSH09b;0,6893;0,5346;0,8489;0,1560;0,0871;0,5522;0,2466;Long/Thin;Oval/Convex
CHE04_057;GSH09b;0,7984;0,6408;0,9339;0,1718;0,1072;0,5180;0,2627;Long/Thin;Oval/Convex
CHE07_032;GSH09b;0,7679;0,6478;0,8817;0,1276;0,0898;0,4867;0,2896;Long/Thin;Oval/Convex
CHE08_035;GSH09b;0,7890;0,6416;0,9810;0,1497;0,1159;0,5436;0,2488;Long/Thin;Oval/Convex
CHE10_005;GSH09b;0,8412;0,6653;1,0010;0,1703;0,1130;0,5751;0,2789;Long/Thin;Oval/Convex
NC06_006;GSH09b;0,8479;0,7019;1,0567;0,1650;0,1072;0,5018;0,2620;Long/Thin;Oval/Convex
NC06_009;GSH09b;0,8106;0,6837;1,0307;0,1636;0,0738;0,5417;0,3213;Long/Thin;Oval/Convex
NC07_104;GSH09b;0,8365;0,6658;1,0563;0,1649;0,0778;0,5432;0,2841;Long/Thin;Oval/Convex
NC08_038;GSH09b;0,8927;0,7165;0,8960;0,0894;0,1327;0,4780;0,2499;Long/Thin;Oval/Convex
NC29_031;GSH09b;0,7946;0,6860;1,0111;0,1539;0,0730;0,5326;0,3086;Long/Thin;Oval/Convex
MAY1_027;GSH09a;0,6810;0,4797;0,8988;0,1451;0,0585;0,4658;0,2639;Long/Thin;Oval/Convex
MAY5_051;GSH09a;0,7342;0,5417;0,9573;0,1496;0,0794;0,5220;0,2937;Long/Thin;Oval/Convex
MAY5_055;GSH09a;0,7963;0,5742;0,9006;0,1625;0,0648;0,5138;0,2910;Long/Thin;Oval/Convex
Glo3_086;GSH09a;0,8818;0,7038;0,9245;0,1829;0,1323;0,5551;0,2573;Long/Thin;Oval/Convex
JDN1_005;GSH09a;0,9416;0,7344;1,0686;0,1580;0,0566;0,6662;0,3731;Long/Thin;Oval/Convex
JDN1_119;GSH09a;0,8772;0,7528;0,9318;0,1639;0,0975;0,5809;0,3131;Long/Thin;Oval/Convex
Eu01_79;GSH09a;0,9613;0,8354;1,0619;0,1554;0,1109;0,5380;0,2625;Long/Thin;Oval/Convex
MAD_0970;GSH09a;0,8152;0,6929;1,0130;0,1197;0,0855;0,5350;0,2794;Long/Thin;Oval/Convex
MAD3_030;GSH09a;0,9087;0,7090;0,9531;0,1583;0,0804;0,5430;0,3120;Long/Thin;Oval/Convex
MAD3_039;GSH09a;0,9627;0,7687;1,0525;0,1375;0,0893;0,6253;0,3352;Long/Thin;Oval/Convex
MAY4_053;GSH09c_WIO;0,7177;0,6193;1,0213;0,1682;0,0679;0,1594;0,0693;Long/Thin;Styliform
MAY4_093;GSH09c_WIO;0,7038;0,5806;0,8912;0,1430;0,0932;0,1998;0,1042;Long/Thin;Styliform
MAY4_103;GSH09c_WIO;0,6692;0,5243;0,7570;0,1398;0,0727;0,1468;0,0756;Long/Thin;Styliform
JDN1_070;GSH09c_WIO;0,8506;0,6859;0,9793;0,1934;0,1087;0,1513;0,1244;Long/Thin;Styliform
JDN2_021;GSH09c_WIO;0,9907;0,7291;1,0588;0,1809;0,1262;0,1830;0,1325;Long/Thin;Styliform
MAD3_111;GSH09c_WIO;0,8437;0,6597;0,8930;0,1653;0,1292;0,2252;0,1061;Long/Thin;Styliform
LP022;GSH09c_WIO;0,8867;0,7410;1,0320;0,1535;0,1209;0,2227;0,1150;Long/Thin;Styliform
LP059;GSH09c_WIO;0,6940;0,5605;0,7986;0,1257;0,1129;0,2049;0,1073;Long/Thin;Styliform
ROD1_044;GSH09c_WIO;0,9749;0,8432;1,1148;0,1505;0,1517;0,2726;0,1501;Long/Thin;Styliform
ROD3_020;GSH09c_WIO;0,8039;0,6712;0,8550;0,1717;0,1003;0,1672;0,0871;Long/Thin;Styliform
CHE02_011;GSH09c_TSP;0,6747;0,5998;0,7724;0,1647;0,0948;0,1736;0,0914;Long/Thin;Styliform
CHE08_034;GSH09c_TSP;0,7407;0,5900;0,8820;0,1527;0,1027;0,2026;0,0946;Long/Thin;Styliform
CHE08_081;GSH09c_TSP;0,7671;0,6153;0,7986;0,1586;0,1208;0,1951;0,0980;Long/Thin;Styliform
CHE12_067;GSH09c_TSP;0,5218;0,4287;0,7149;0,1247;0,0979;0,1127;0,0748;Long/Thin;Styliform
NC06_054;GSH09c_TSP;0,6956;0,5951;0,9286;0,1413;0,1180;0,2010;0,1327;Long/Thin;Styliform
NC06_078;GSH09c_TSP;0,6246;0,5390;0,8001;0,1645;0,1023;0,1478;0,0697;Long/Thin;Styliform
NC07_141;GSH09c_TSP;0,6480;0,5468;0,9976;0,1729;0,1101;0,1565;0,0950;Long/Thin;Styliform
NC27_029;GSH09c_TSP;0,8124;0,6704;0,8497;0,1159;0,1432;0,1942;0,0948;Long/Thin;Styliform
NC28_021;GSH09c_TSP;0,6727;0,5838;0,7590;0,1531;0,1147;0,1859;0,1071;Long/Thin;Styliform
NC29_133;GSH09c_TSP;0,5933;0,5131;0,6807;0,1550;0,1238;0,1316;0,0761;Long/Thin;Styliform
Pacuta_SSR2014;-;1,0438;0,6708;1,0602;0,1200;0,0487;0,0000;0,0000;Rudimentary;Flat/Spinulate
Pdamicornis_SSR2014;-;0,9240;0,8795;1,0819;0,1385;0,0657;0,0000;0,0000;Rudimentary;Flat/Spinulate
Peydouxi_SSR2014;-;0,8635;0,7258;1,0106;0,1385;0,1091;0,1443;0,1048;Long/Thin;Styliform
Pmeandrina_SSR2014;-;0,8388;0,6643;0,9217;0,1106;0,1247;0,4705;0,2907;Long/Thin;Oval/Convex
Pverrucosa_SSR2014;-;0,7873;0,5054;0,8940;0,1371;0,1222;0,0000;0,0000;Long/Thin;Flat/Spinulate
