specimen,lon,lat,elev
RAP0634_monticola_B,0.747637608,0.716480369,0.638586461
RAP0641_monticola_B,0.709697846,0.645566834,0.438429671
RAP0656_monticola_A,0.49442247,0.490265152,0.409720955
RAP0673_monticola_B,0.538184231,0.527435827,0.451905467
RAP0679_monticola_A,0.443273213,0.500478781,0.419385141
RAP0686_monticola_B,0.56720432,0.484205627,0.12949334
RAP0707_monticola_A,0.072907067,0.049467593,0.042461597
RAP0713_monticola_B,0.770883207,0.763943127,0.758219627
RAP0719_monticola_B,0.777271169,0.744428396,0.778081896
RAP0731_monticola_B,0.768513024,0.714781927,0.639498814
RAP0764_monticola_B,0.693709864,0.693819847,0.484473099
RAP0771_monticola_B,0.698566504,0.701838536,0.756117835
RAP0781_monticola_B,0.735902419,0.674079902,0.661003318
RAP0797_monticola_B,0.695949705,0.626997073,0.508153735
RAP0807_monticola_B,0.67834314,0.640661212,0.600159493
RAP0826_monticola_B,0.606095861,0.645401231,0.504173171
RAP0837_monticola_B,0.602465313,0.641697598,0.406889281
RAP0845_monticola_B,0.597312679,0.615771397,0.748940656
RAP0864_monticola_B,0.575477491,0.59830892,0.699964182
RAP0874_monticola_B,0.614693064,0.574423374,0.838736492
RAP0877_monticola_B,0.615593466,0.571037378,0.753671377
RAP0881_monticola_B,0.631254915,0.583844527,0.620684062
RAP0927_monticola_B,0.563652187,0.586100262,0.698517933
RAP0934_monticola_B,0.634379454,0.545781574,0.553555137
RAP0936_monticola_B,0.691157412,0.575422903,0.210091303
RAP0947_monticola_B,0.830613684,0.736741847,0.306895363
RAP0967_monticola_B,0.618960901,0.574527456,0.691962506
RAP0993_monticola_B,0.62608038,0.597002361,0.686839811
RAP1016_monticola_A,0,0.027630983,0
RAP1030_monticola_A,0.06098235,0.047727806,0.032932574
RAP1050_monticola_B,0.683334149,0.718894064,0.420358318
RAP1068_monticola_A,0.421015117,0.546405885,0.199460698
RAP1071_monticola_C,0.127277862,0.293653207,0.102636363
RAP1075_monticola_C,0.300649978,0.374979705,0.179747109
RAP1077_monticola_C,0.272895745,0.315248693,0.17061006
RAP1079_monticola_C,0.230051565,0.267728517,0.137244963
RAP1081_monticola_C,0.369305765,0.368943986,0.207894897
RAP1083_monticola_C,0.401779184,0.421425143,0.184410248
RAP1087_monticola_C,0.349177458,0.469054349,0.148652758
RAP1092_monticola_B,0.507029364,0.571118795,0.701586143
RAP1102_monticola_B,0.683228123,0.718960429,0.418743115
RAP1128_monticola_C,0.253777428,0.176387457,0.061681839
RAP1134_monticola_A,0.072925491,0.049374563,0.041556002
RAP1136_monticola_A,0.013949651,0,0.001324602
RAP1139_monticola_C,0.147553006,0.285098837,0.105636992
RAP1141_monticola_A,0.143340403,0.148087099,0.016280437
RAP1143_monticola_C,0.19147477,0.213182174,0.074157425
RAP1145_monticola_C,0.155395621,0.32096799,0.149970602
RAP1150_monticola_C,0.273828259,0.327513006,0.117984172
RAP1152_monticola_C,0.320820989,0.274303161,0.179409201
RAP1153_monticola_C,0.283800662,0.332872773,0.174766336
RAP1155_monticola_C,0.288532902,0.340484232,0.196020788
RAP1175_monticola_B,1,1,0.373949949
RAP1181_monticola_B,0.788017597,0.918381508,0.314214464
RAP1185_monticola_B,0.73713754,0.884846559,0.296771621
RAP1191_monticola_B,0.799212164,0.877519376,0.371348053
RAP1198_monticola_B,0.866087108,0.899864158,0.291743541
RAP1199_monticola_B,0.913673045,0.897213235,0.506281721
RAP1203_monticola_B,0.703126809,0.634830116,0.340821388
RAP1258_monticola_B,0.489832566,0.595845925,0.412904054
RAP1277_monticola_B,0.519505512,0.559480215,0.621522076
RAP1283_monticola_B,0.534304346,0.558633905,1
RAP1298_monticola_B,0.482053762,0.496886444,0.479593699
RAP1326_monticola_B,0.490811566,0.480417985,0.322527016
RAP1334_monticola_B,0.458037396,0.448413298,0.236806358
RAP1361_monticola_C,0.365389644,0.375780833,0.229500774
RAP1380_monticola_B,0.415373788,0.505440502,0.338084328
RAP1383_monticola_B,0.400160003,0.499289828,0.530780096
RAP1427_monticola_B,0.774030611,0.785471107,0.696402625
RAP1440_monticola_B,0.731172156,0.805484795,0.412694551
RAP1451_monticola_B,0.747426922,0.818678375,0.486581649